⺁	〔※⺁※丿※丿※※〕
⺄	〔※⺄※⺄※囗※囗※〕
⺈	〔※⺈※丿※乛※※〕
⺋	〔※㔾※󰂁※乚※※〕
⺌	〔※⺌※丨※丶※丿※〕
⺗	〔※⺗※亅※丿※丶※〕
⺧	〔※丿※土※󰀌※※〕
⺪	〔※乛※止※󰀌※※〕
⺮	〔※⺮※丿※一※丶※〕
⺳	〔※冖※丿※󰁏※󰀅※〕
⺶	〔※⺶※丶※丿※丿※〕
⺷	〔※丷※王※󰀘※※〕
⺻	〔※󰁬※丨※一※󰀌※〕
⻊	〔※口※止※󰀘※※〕
㐀	〔※丨※一※󰀥※一※〕
㐁	〔※一※囗※人※󰀦※〕
㐂	〔※七※七※七※󰀅※〕
㐃	〔※囗※丨※󰀵※※〕
㐄	〔※㐄※一※󰂂※丨※〕
㐅	〔※乂※丿※丶※※〕
㐆	〔※⺁※彐※󰂁※󰁫※〕
㐇	〔※九※乙※󰀅※※〕
㐈	〔※丿※󰂃※乙※󰀅※〕
㐉	〔※丁※乙※󰀅※※〕
㐊	〔※士※乙※󰀅※※〕
㐋	〔※土※乙※󰀅※※〕
㐌	〔※󰁿※也※󰀅※※〕
㐍	〔※爫※乙※󰀅※※〕
㐎	〔※文※乙※󰀅※※〕
㐏	〔※五※乙※󰀅※※〕
㐐	〔※女※又※乙※󰀅※〕
㐑	〔※夂※󰁦※乙※󰀅※〕
㐒	〔※刀※口※乙※󰀅※〕
㐓	〔※丁※口※乙※󰀅※〕
㐔	〔※󰁸※乙※󰀅※※〕
㐕	〔※由※乙※󰀅※※〕
㐖	〔※士※口※乚※󰁀※〕
㐗	〔※土※丿※匕※乙※〕
㐘	〔※米※乙※󰀅※※〕
㐙	〔※一※口※䒑※乙※〕
㐚	〔※五※口※乙※󰀅※〕
㐛	〔※亻※󰁼※口※乙※〕
㐜	〔※一※氺※丶※九※〕
㐝	〔※扌※勹※口※乙※〕
㐞	〔※󰀎※八※乙※󰀅※〕
㐟	〔※丨※三※丨※乙※〕
㐠	〔※爫※孑※乚※乙※〕
㐡	〔※九※丆※冂※大※〕
㐢	〔※氵※爫※子※乙※〕
㐣	〔※广※車※乙※󰁫※〕
㐤	〔※九※十※󰀣※八※〕
㐥	〔※釒※󰀐※󰀞※乙※〕
㐦	〔※󰀗※一※󰁕※乙※〕
㐧	〔※丶※乛※亅※丿※〕
㐨	〔※󰁻※乛※亅※亅※〕
㐩	〔※二※󰀯※二※󰀯※〕
㐪	〔※一※凵※人※󰀦※〕
㐫	〔※亠※乂※凵※󰀬※〕
㐬	〔※亠※厶※󰀸※󰀅※〕
㐭	〔※亠※囗※口※󰀘※〕
㐮	〔※六※󰀀※󰀔※󰁧※〕
㐯	〔※󰁸※口※禾※日※〕
㐰	〔※亻※口※󰀝※※〕
㐱	〔※人※彡※󰁣※※〕
㐲	〔※亻※大※󰁶※※〕
㐳	〔※亻※一※儿※󰁀※〕
㐴	〔※亻※夕※󰁶※※〕
㐵	〔※亻※一※󰀛※󰀢※〕
㐶	〔※亻※巳※󰁀※※〕
㐷	〔※亻※󰀊※一※󰀝※〕
㐸	〔※亻※⺈※人※󰁶※〕
㐹	〔※亻※气※󰁀※※〕
㐺	〔※亻※亻※人※󰁶※〕
㐻	〔※亻※冂※人※󰁶※〕
㐼	〔※亻※丿※廾※󰀢※〕
㐽	〔※亻※󰁰※乂※󰁶※〕
㐾	〔※亻※二※儿※󰁀※〕
㐿	〔※亻※手※󰀢※※〕
㑀	〔※亻※大※丶※󰁶※〕
㑁	〔※亻※凵※山※󰀢※〕
㑂	〔※亻※一※冂※人※〕
㑃	〔※亻※幺※力※󰁥※〕
㑄	〔※亻※母※󰁶※※〕
㑅	〔※亻※󰁿※上※󰀝※〕
㑆	〔※亻※口※儿※󰁀※〕
㑇	〔※亻※⺈※彐※󰀝※〕
㑈	〔※亻※󰀂※小※󰁶※〕
㑉	〔※亻※󰁰※一※夕※〕
㑊	〔※亻※亠※󰁖※󰁶※〕
㑋	〔※亻※󰀿※󰁺※󰀝※〕
㑌	〔※亻※匚※王※󰀝※〕
㑍	〔※亻※二※木※󰁶※〕
㑎	〔※亻※巛※山※󰀢※〕
㑏	〔※亻※宀※寸※󰁶※〕
㑐	〔※亻※上※小※󰁶※〕
㑑	〔※亻※丿※目※󰀝※〕
㑒	〔※人※一※口※人※〕
㑓	〔※亻※厶※󰁼※又※〕
㑔	〔※亻※丆※贝※󰁶※〕
㑕	〔※亻※山※夕※󰁶※〕
㑖	〔※亻※亻※口※丨※〕
㑗	〔※亻※丿※󰀽※丿※〕
㑘	〔※亻※戈※廾※󰀢※〕
㑙	〔※亻※耳※乚※󰁀※〕
㑚	〔※亻※󰂁※󰀠※阝※〕
㑛	〔※亻※木※口※󰀝※〕
